Review,Rating
"Just had a meal here -started badly when my driver who came to collect me (nice touch ) criticised my footwear in his car .Didn’t set the tone very well 
The Seafood Chowder came in a tiny bowl ...and had a smattering of fish chunks...in it probably so it could pass the seafood’ label 
In accompaniment with the  soup,  I was also served the half a dozen oysters I ordered which came with no lemon ,just a dish of balsamic vinegar . The oysters (or could they have been scallops (?) as the taste was virtually the same 
The  star attraction of scallops were swimming helplessly in pools of sauce ( ostensibly to hide the blandness of their taste I summised, along with chips and a salad offering 
I wasn’t asked  if I wanted dessert 
Whilst there , a collection order was bungles and some drinks left off the Order -with only myself , another table of two and collection girl , how I’d it possible to get an Order wrong ??
For $78, I was left horribly underwhelmed 
The waiter told me prior to eating that this restaurant was among the best in Auckland ...if that’s the case I’m getting on the plane and going back home 
Wasnt asked if I enjoyed it on paying but the offer to ‘come again’ will fall on deaf ears 
Come on Auckland , u can do better than this sort of Roadside Cafe masquerading as a Restaurant!More",0
"There's no need for social distancing at Level 1.
We were served quickly, the waiter was pleasant. Our meals came quickly as there were not many people in the dining room.  
There were a few take-away orders.
We had steak as main and the garlic...bread recommended to us.  They were ok.  Drinks were expensive for what they were.More",0
"We had lunch here because it was an easy walk from our lodging,  their menu looked better than two adjacent places, and it was more crowded (aka the theory of it must be better since more people there).  Well looks are deceiving. The food (...seafood chowder, garlic bread, squash soup,  and chicken)  were okay, not special. Also, service was slooooowwwww.More",0
This restaurant doesnt really stand out for anything except or the fact that you can order a full meal from their menu and they will pack it to takeaway/pick up which is pretty convenient. I had a steak meal takeaway and although not amazing the...convenience made up for it.More,0
"Lured by the street menu, we visited this place and found a different menu with every item at a higher price. When we asked we were told the posted price on the street (lower) were honored, but wondering what price would have been charged if...More",0
"We were in Mangere For the night catching an early flight next day so stayed near the airport. We checked into our accommodation The Oakwood Manor, we asked reception if there were any local restaurant that were good, they were very helpful and organised the...More",0
"We were enroute staying at an airport hotel and we wanted a casual dinner.  We saw Bar & Baa and thought it would be fine. 
To start the water tasted like it had been sitting for a few days. I ordered a fish dish which...More",0
"Ordered at 5pm, food arrived at 6:38pm - were advised of a 20 minute wait (so not a good start).  I don’t mind waiting for good food, good food takes time, but this was awful! Remarkably they did call at 5:58pm to say it would...More",0
Nice place to stop for a beer after dinner. They serve food also but didn't try it. Would recommend.,0
"As this was the only restaurant open near our motel we had no choice.The place was filthy, all the chairs were stained with food (I assumed it was food)
Food was ok but not a place to return to",0
Not the best i'm afraid my order came incorrect. Was disappoint after we heard it was suppose to be a good place. The bonus they get from this review is the staff were friendly. Maybe we''ll have better luck next time...,0
Staying at hotel near airport and already turned in car. They have delivery. Food was delivered quickly. Lamb steak was tough. Potatoes tasted like from a box. Seafood was only OK.,0
"Easy walk from our hotel up to this restaurant, great friendly staff and nice basic yummy food. Nice setting and reasonable prices",0
"It was not a pleasant experience. The chops were only fat, the vegetables were cooked too much and the potatoes were hard and not fresh. A glas of wine contains only very little wine.
Staff are nice.",0
The menu was at our hotel and was close by. I had a lamb stir fry which tasted & looked like the sauce was gravy. Not nice.,0
"The food was just okay, definitely not worth the price.  One of the owners/managers was super over the top about inviting people in for what turned out to be not a great experience. They didn't take credit card which seems ridiculous because it is near...More",0
This is the worst experience I had in years! The first sign I should have picked up on and moved on was the baked snapper on the manue board outside when I asked if they had it available the answer from the chef was ‘it...More,0
Just been for meal here (9 April 2019).  Was talked into having the Lamb shank which was good but not brilliant. I would have scored 4 but I had asked for 2 glasses of the cheapest Sauvignon Blanc at 7.90 per glass but when payning...More,0
Food portions were average sized and tasted and looked like they were straight out of the freezer. Won’t be returning.,0
"Ordered lamb loin chops with vegies. Chops were tender and tasty but spoilt by packet gravy. Baked potatoes, boiled broccoli and boiled frozen carrots and peas made for a bland vegetable accompaniment. Could have been great with potato mash, butter on the broccoli and fresh...More",0
Just eaten there. Very strange meal presentation. Mine was seafood drowned in sauce which soaked the salad. My husband had a steak in gravy with eggs which he liked.,0
"This restaurant was near where we were staying and there wasn't much choice of places to eat.  While the staff were friendly and the menu had a lot of choice, the lamb roast I ordered was so off that I could smell it as soon...More",0
My wife's lamb roast was really off. You could smell it when it arrived.  We sent it back. They did not appeared surprised. Just asked what she wanted to replace it. with.  How could a meal come out of the kitchen and no one notice...More,0
"Food ok, service a little slow once inside, not much competition in this area, garlic bun helped while we waited.
Def the meeting in the parking area offering the best will not fall for that again.",0
"We're Canadians in transit to the Cook Islands. I could have cooked better food with a kettle in my hotel room than spend even a dollar at this so-called restaurant. Zero flavour, zero care to details, and zero care to the overall aesthetics of both...More",0
"There is no much choice for dinning in the area, so we have tried this restaurant as an alternative to overpriced hotel restaurant where we were staying. There is a lot of choice of different food in this restaurant, but only few of those are...More",0
"You don't have a lot of choice in this area. Was staying in a nearby hotel. 
Ordered the Lamb Shank. It was ok (though I can't beieve people still don't realise you can't put a cold salad on a warm plate with a warm entree)....More",0
"Promising start with a friendly greeting , taking of meal & drinks order. However the food was fitting for a cheap buffet rather than the prices being charged.

The young girl who greeted us was the star of this ""restaurant"". The man who appeared to...More",0
The staff in this place were so very friendly.   They are what is keeping this place alive I feel.  The food was definitely not up to the prices charged.  We had the fish platter.  Very flavourless and the prawn tasted very much less than fresh....More,0
"Located next to Chinese & Indian eateries, this offers European style food ranging from pasta to grills, and Greek desserts. Mid level suburban, rather than high end, but good comfortable travellers diner if staying nearby. Also has outdoor seating when weather is suitable. Approx 4...More",0
"Service was good, food was average and then it was ruined when I asked for a break down of the bill and had seen I'd been charged for a fillet steak I hadn't ordered (I ordered the Kiwi Scotch) and they had charged me for...More",0
Good service that they fetch us from our apartment nearby and sent us back. Pity quality of food not up to expectations.,0
"No pictures cause not worthy of it.
Absolute rip off for 1star meals, price of a 3/4star restaurant!!",0
"We were invited in a little agressively as we were trying to have a look at the menu. We ordered the seafood platter and enjoyed the food. The servers were friendly but mixed up our drinks twice. Happy we left the hotel, just a couple...More",0
"ok, we thought will give it go cos the prices were good on the outdoor board, food was horrible, saturated in oil, seemed like everthing was mixed together and slapped on the plate, grrrr, we told the person at the bar it was not good,...More",0
"I got the roasted lamb with mint sauce and it was disgusting. It had some nasty gravy on it that was not what the menu described and the lamb was tough. My husband ate my dinner because I didn't want it. The fries were good,...More",0
We were led to try Bar and Baa Restaurant due to a menu in our motel room and the prices seeming reasonable. I ordered a side of vegetables with my chicken tenders and the meal was acceptable. We paid by visa and once back in...More,0
"It was Mother’s Day so the restaurant had a special breakfast menu. It was poor food. Very low quality sausages, tinned mushrooms soggy bread but the poached eggs were cooked perfectly. It put us off returning for an evening meal here.",0
"I visited here with a colleague while staying locally. We were welcomed in by a very pleasant young woman. The food, however, was not so pleasant. 
It was overpriced and seemed to be made from packets. The mashed potato tasted like it was from potato...More",0
"The first time we visited the Bar and Baa we had fish and chips and quite enjoyed it. 
Three weeks later we took some friends with us and were less than happy. Apart from noticing the poor the general condition of the restaurant (eg. holes...More",0
"Although we accepted the waiter's offer for garlic bread, we were quite disappointed to realized that it was nothing more than an hamburger bun with a splash of garlic butter.  Be cautious about any menu item changes (e.g. chicken vs beef), as you will notice...More",0
"Limited choice of restaurants in this vicinity but this place was convenient, staff were very friendly and welcoming and the food we had was good. The lamb shank was tasty and tender and the chicken and mushroom linguine plentiful and tasty. More like a cafe...More",0
